10,10,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/Damn. Wish I had time for a social",0.8,NameDatabase@34ce8af7
10,10,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(on phone)",0.8,NameDatabase@34ce8af7
10,10,"Lecter",NAMEFINDER_ME,"grainy newsphoto of Dr . Lecter , scrawling past , with",1.0,NameDatabase@34ce8af7
10,10,"Crawford",NAMEFINDER_ME,"on phone ) Mr . Crawford ? CUT TO :",1.0,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/I've read your interim memo on Lecter.",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/It's all there, sir, practically",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/Every word, Starling? Every gesture?",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(a bit heatedly)",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/He mentioned a name, at the very",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I spent all evening on the mainframe.",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/Well? Why aren't you there right",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Sir, that's a field job. It's outside",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/Do you recall my instructions to",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/To complete and file my report by",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/Then do that, Starling. Do just",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Sir, what is it? There's something",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/(beat)",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(startled, upset)",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/The orderly heard Lecter whispering",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I'm here, sir, I just - I don't know",0.8,NameDatabase@34ce8af7
11,11,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/You don't have to feel any way about",0.7,NameDatabase@34ce8af7
11,11,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Well God damn it! You old creep.",0.8,NameDatabase@34ce8af7
11,11,"Lecter",NAMEFINDER_ME,"evening on the mainframe . Lecter altered or destroyed most of",0.8524688015919617,NameDatabase@34ce8af7
11,11,"Lecter",NAMEFINDER_ME,"facility outside Baltimore , where Lecter had his practice . She",1.0,NameDatabase@34ce8af7
11,11,"Lecter",NAMEFINDER_ME,"How ? The orderly heard Lecter whispering to him , all",0.8632398293919468,NameDatabase@34ce8af7
11,11,"Lecter",NAMEFINDER_ME,"any way about it . Lecter did it to amuse himself",1.0,NameDatabase@34ce8af7
12,12,"CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"CRAWFORD/I'll take over, Patricia. You get",0.7,NameDatabase@34ce8af7
12,12,"BELLA CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"BELLA CRAWFORD/who lies in an elevated hospital bed. Nearby are an oxygen",1.0,NameDatabase@34ce8af7
12,12,"Crawford",NAMEFINDER_ME,"a clipboard chart , as Crawford enters his tidy bedroom .",0.8925076427839289,NameDatabase@34ce8af7
13,13,"Hester Mofet",NAMEFINDER_ME,"the name of "" Miss Hester Mofet . "" CUT TO :",1.0,NameDatabase@34ce8af7
14,14,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/So no one's been in here since -",0.8,NameDatabase@34ce8af7
14,14,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I won't disturb anything, Mr. Yow, I",0.8,NameDatabase@34ce8af7
14,14,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Would you hold these, please?",0.8,NameDatabase@34ce8af7
14,14,"Yow",NAMEFINDER_ME,"disturb anything , Mr . Yow , I promise . Be",1.0,NameDatabase@34ce8af7
14,14,"Yow",NAMEFINDER_ME,"no good . Mr . Yow stoops to help , puffing",1.0,NameDatabase@34ce8af7
14,14,"Yow",NAMEFINDER_ME,"her headlights . Mr . Yow blinks in the sudden brightness",1.0,NameDatabase@34ce8af7
14,14,"Yow",NAMEFINDER_ME,"the flashlight from Mr . Yow , then lies on the",1.0,NameDatabase@34ce8af7
14,14,"an FBI matter...",PERSON_INTRO,"if you say this is an FBI matter...",0.7,null
15,15,"Yow",NAMEFINDER_ME,"small RUSTLINGS . Mr . Yow ' s chubby face appears",1.0,NameDatabase@34ce8af7
16,16,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Mr. Yow, if this door should fall",0.8,NameDatabase@34ce8af7
16,16,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(beat)",0.8,NameDatabase@34ce8af7
16,16,"Yow",NAMEFINDER_ME,"appear nonchalant . Mr . Yow , if this door should",1.0,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Okay, Mr. Yow...",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/That wasn't me.",0.8,NameDatabase@34ce8af7
17,17,"THE CAR",SPEAKER_ABOVE_DIALOGUE,"THE CAR/is an antique beauty, a 1931 Packard. It's very dusty, despite",1.0,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/peers in through the gap, aiming her flashlight.",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Mr. Yow? Oh Mr. Yow...? It looks",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Not yet! - just wait for me.",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/sighs with relief. She takes a couple more FLASHES, then",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/staring at this terrible thing, is pleased to find herself",0.8,NameDatabase@34ce8af7
17,17,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Well, Toto, we're not in Kansas",0.8,NameDatabase@34ce8af7
17,17,"Yow",NAMEFINDER_ME,"? Okay , Mr . Yow ... She shines her light",1.0,NameDatabase@34ce8af7
17,17,"Yow",NAMEFINDER_ME,"steadies herself . Mr . Yow ? Oh Mr . Yow",1.0,NameDatabase@34ce8af7
17,17,"Yow",NAMEFINDER_ME,"Yow ? Oh Mr . Yow ... ? It looks like",1.0,NameDatabase@34ce8af7
17,17,"MAN",PERSON_NOUN,"A SEVERED HUMAN HEAD stares back at her, as the beaded",0.7,null
19,19,"CLARICE",SPEAKER_WITH_VO_OS,"CLARICE (O.S.)/It's an anagram, isn't it, Doctor?",1.0,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Hester Mofet... ""The rest of me.""",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/You put those - things in there.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Thank you.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/How did -",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(surprised, a beat)",0.8,NameDatabase@34ce8af7
