SceneNumber,CanonicalNames,SceneLengthsEights
158,SECOND OLD WOMAN,4,DAY
159,KRUCZYNSKI,3,A FEW MINUTES LATER
159,HOWARD MIERZWIAK,3,A FEW MINUTES LATER
159,MARY,3,A FEW MINUTES LATER
159,OLD MAN,3,A FEW MINUTES LATER
159,JOEL BARISH,3,A FEW MINUTES LATER
159,SECOND OLD WOMAN,3,A FEW MINUTES LATER
160,SECOND OLD WOMAN,1,NIGHT
161,SECOND OLD WOMAN,1,
162,SECOND OLD WOMAN,1,CONTINUOUS
163,OLD MAN,2,NIGHT
