SceneNumber,CanonicalNames,SceneLengthsEights
42,JOEL BARISH,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
43,CARRIE,2,INT,INT . JOEL'S CAR - NIGHT,NIGHT
43,JOEL BARISH,2,INT,INT . JOEL'S CAR - NIGHT,NIGHT
46,MARY,2,INT,INT . ELEVATOR - DAY,DAY
46,STAN,2,INT,INT . ELEVATOR - DAY,DAY
47,PATRICK,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
47,STAN,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
47,MARY,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
48,CLEMENTINE,8,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
48,JOEL BARISH,8,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
50,JOEL BARISH,2,INT,INT . JOEL'S CAR - CONTINUOUS,CONTINUOUS
50,CLEMENTINE,2,INT,INT . JOEL'S CAR - CONTINUOUS,CONTINUOUS
51,PATRICK,1,EXT,EXT . STREET - CONTINUOUS,CONTINUOUS
51,STAN,1,EXT,EXT . STREET - CONTINUOUS,CONTINUOUS
51,JOEL BARISH,1,EXT,EXT . STREET - CONTINUOUS,CONTINUOUS
52,PATRICK,2,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
52,STAN,2,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
53,PATRICK,2,EXT,EXT . STREET - NIGHT,NIGHT
53,STAN,2,EXT,EXT . STREET - NIGHT,NIGHT
54,PATRICK,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
54,STAN,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
54,JOEL BARISH,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
55,CLEMENTINE,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
55,JOEL BARISH,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
56,JOEL BARISH,9,EXT,EXT . ZOO - DAY,DAY
56,CLEMENTINE,9,EXT,EXT . ZOO - DAY,DAY
57,JOEL BARISH,5,INT,INT . BAR - NIGHT,NIGHT
57,CLEMENTINE,5,INT,INT . BAR - NIGHT,NIGHT
57,MARK,5,INT,INT . BAR - NIGHT,NIGHT
58,PATRICK,14,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
58,MARY,14,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
58,STAN,14,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
58,HOWARD MIERZWIAK,14,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
58,WINSTON CHURCHILL,14,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
59,CLEMENTINE,3,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
59,JOEL BARISH,3,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
60,PATRICK,4,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
60,JOEL BARISH,4,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
60,CLEMENTINE,4,INT,INT . CHINESE RESTAURANT - NIGHT,NIGHT
61,PATRICK,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
61,STAN,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
61,MARY,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
62,CLEMENTINE,6,INT,INT . CLEMENTINE'S APARTMENT - NIGHT,NIGHT
