SceneNumber,CanonicalNames,SceneLengthsEights
102,JOEL BARISH,3,INT,NIGHT
102,CLEMENTINE,3,INT,NIGHT
103,JOEL BARISH,1,INT,NIGHT
103,CLEMENTINE,1,INT,NIGHT
104,JOEL BARISH,1,INT,NIGHT
105,HOWARD MIERZWIAK,7,INT,NIGHT
105,MARY,7,INT,NIGHT
106,NAOMI,4,INT,NIGHT
106,JOEL BARISH,4,INT,NIGHT
108,NAOMI,1,INT,NIGHT
109,NAOMI,2,INT,DAY
109,JOEL BARISH,2,INT,DAY
110,NAOMI,1,INT,DAY
111,JOEL BARISH,1,INT,NIGHT
111,CLEMENTINE,1,INT,NIGHT
112,NAOMI,5,EXT,DAY
112,JOEL BARISH,5,EXT,DAY
113,MALE EMPLOYEE,11,INT,NIGHT
113,JOEL BARISH,11,INT,NIGHT
113,CLEMENTINE,11,INT,NIGHT
113,MARK,11,INT,NIGHT
114,NAOMI,2,INT,NIGHT
114,CARRIE,2,INT,NIGHT
114,JOEL BARISH,2,INT,NIGHT
115,JOEL BARISH,1,INT,NIGHT
116,NAOMI,6,INT,NIGHT
116,JOEL BARISH,6,INT,NIGHT
117,NAOMI,3,INT,AFTERNOON
117,JOEL BARISH,3,INT,AFTERNOON
118,NAOMI,5,INT,NIGHT
118,CARRIE,5,INT,NIGHT
118,JOEL BARISH,5,INT,NIGHT
119,CARRIE,1,INT,DAY
119,JOEL BARISH,1,INT,DAY
120,JOEL BARISH,1,EXT,NIGHT
121,CARRIE,1,EXT,NIGHT
121,JOEL BARISH,1,EXT,NIGHT
122,ROB,1,EXT,MOMENTS LATER
122,JOEL BARISH,1,EXT,MOMENTS LATER
123,ROB,34,EXT,LATER
123,GREEN REVOLUTION,34,EXT,LATER
123,JOEL BARISH,34,EXT,LATER
123,CLEMENTINE,34,EXT,LATER
123,HOUND,34,EXT,LATER
124,NAOMI,10,INT,CONTINUOUS
124,AH,10,INT,CONTINUOUS
124,DAVID,10,INT,CONTINUOUS
124,JOEL BARISH,10,INT,CONTINUOUS
124,CLEMENTINE,10,INT,CONTINUOUS
125,JOEL BARISH,1,EXT,NIGHT
126,ROB,1,INT,NIGHT
126,CARRIE,1,INT,NIGHT
126,JOEL BARISH,1,INT,NIGHT
127,HOWARD MIERZWIAK,2,INT,EARLY MORNING
127,HOLLIS,2,INT,EARLY MORNING
127,STAN,2,INT,EARLY MORNING
127,JOEL BARISH,2,INT,EARLY MORNING
128,STAN,1,EXT,EARLY MORNING
128,HOWARD MIERZWIAK,1,EXT,EARLY MORNING
129,PATRICK,1,INT,EARLY MORNING
129,MARY,1,INT,EARLY MORNING
130,STAN,9,EXT,EARLY MORNING
130,MARY,9,EXT,EARLY MORNING
131,JOEL BARISH,1,INT,MORNING
132,JOEL BARISH,1,EXT,MORNING
133,NAOMI,1,INT,DAY
133,JOEL BARISH,1,INT,DAY
134,MARY,1,INT,DAY
135,MARY,5,INT,CONTINUOUS
135,HOWARD MIERZWIAK,5,INT,CONTINUOUS
136,NAOMI,5,INT,NIGHT
136,JOEL BARISH,5,INT,NIGHT
137,NAOMI,2,INT,NIGHT
137,JOEL BARISH,2,INT,NIGHT
138,PATRICK,1,INT,NIGHT
139,JOEL BARISH,1,EXT,MORNING
140,MARY,1,INT,MORNING
140,JOEL BARISH,1,INT,MORNING
141,CLEMENTINE,2,INT,NIGHT
141,JOEL BARISH,2,INT,NIGHT
142,NAOMI,9,INT,NIGHT
142,JOEL BARISH,9,INT,NIGHT
142,CLEMENTINE,9,INT,NIGHT
143,LISTEN,10,EXT,NIGHT
143,CLEMENTINE,10,EXT,NIGHT
143,JOEL BARISH,10,EXT,NIGHT
144,JOEL BARISH,1,EXT,DAY
145,CLEMENTINE,4,INT,A FEW MINUTES LATER
145,JOEL BARISH,4,INT,A FEW MINUTES LATER
146,CARRIE,1,INT,DAY
146,JOEL BARISH,1,INT,DAY
147,JOEL BARISH,2,INT,CONTINUOUS
147,CLEMENTINE,2,INT,CONTINUOUS
148,CLEMENTINE,9,INT,LATER
148,JOEL BARISH,9,INT,LATER
149,RECEPTIONIST,2,INT,MORNING
149,STAN,2,INT,MORNING
149,HOWARD MIERZWIAK,2,INT,MORNING
150,PATRICK,5,INT,MOMENTS LATER
150,HOWARD MIERZWIAK,5,INT,MOMENTS LATER
150,STAN,5,INT,MOMENTS LATER
150,MARY,5,INT,MOMENTS LATER
150,YOUNG WOMAN,5,INT,MOMENTS LATER
151,MEET,5,INT,DAY
151,JOEL BARISH,5,INT,DAY
151,CLEMENTINE,5,INT,DAY
152,MARY,9,INT,DAY
152,STAN,9,INT,DAY
152,HOWARD MIERZWIAK,9,INT,DAY
